"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,296,,0.9483,13.0146,13.7235,36,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,151,,0.9509,9.6899,10.1898,13,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,681,,1.0597,21.5645,20.3495,151,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9654,4.2680,4.4211,Too Few to Report,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,490,,0.9715,16.1137,16.5863,77,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,130,,0.9330,15.4544,16.5637,16,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8497,4.2346,4.9836,Too Few to Report,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,176,,0.9935,20.1511,20.2835,35,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,305,,0.8495,13.3621,15.7296,30,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,144,,0.8696,15.5737,17.9090,14,07/01/2020,06/30/2023
